,features_importance
alpha29t-4,0.0
alpha29t-3,0.0
alpha29t-20,0.0
alpha29t-2,0.0
alpha29t-19,0.0
alpha29t-18,0.0
alpha29t-17,0.0016141036
alpha29t-16,0.0
alpha29t-15,0.0
alpha29t-14,0.0
alpha29t-13,0.0
alpha29t-12,0.0
alpha29t-11,0.0
alpha29t-10,0.0
alpha29t-1,0.0
alpha29t,0.0
alpha28t-9,0.0
alpha28t-8,0.0
alpha28t-7,0.0
alpha28t-6,0.0
alpha28t-5,0.0
alpha28t-4,0.0
alpha28t-3,0.0030798994
alpha28t-20,0.0
alpha28t-2,0.0
alpha28t-19,0.0
alpha28t-18,0.0
alpha28t-17,0.0
alpha28t-16,0.0
alpha28t-15,0.0
alpha28t-14,0.0
alpha28t-13,0.0
alpha28t-12,0.0
alpha28t-11,0.0
alpha28t-10,0.0
alpha28t-1,0.0
alpha28t,0.0
alpha25t-9,0.0
alpha25t-8,0.0
alpha25t-7,0.0
alpha25t-6,0.0
alpha25t-5,0.0
alpha25t-4,0.0
alpha25t-3,0.0
alpha25t-20,0.0
alpha25t-2,0.0
alpha25t-19,0.0
alpha25t-18,0.0
alpha25t-17,0.0
alpha25t-16,0.0
alpha25t-15,0.0
alpha25t-14,0.0
alpha25t-13,0.0
alpha25t-12,0.0
alpha25t-11,0.0
alpha25t-10,0.0
alpha25t-1,0.0
alpha25t,0.0
alpha24t-9,0.0
alpha24t-8,0.0
alpha24t-7,0.0
alpha24t-6,0.0
alpha24t-5,0.0
alpha24t-4,0.0
alpha24t-3,0.0
alpha24t-20,0.0
alpha24t-2,0.0
alpha24t-19,0.0
alpha24t-18,0.0002527323
alpha24t-17,0.0
alpha24t-16,0.0
alpha24t-15,0.0
alpha24t-14,0.0
alpha24t-13,0.0043796618
alpha24t-12,0.0
alpha24t-11,0.0
alpha24t-10,0.0
alpha24t-1,0.0
alpha24t,7.667369e-05
alpha23t-9,0.0
alpha23t-8,0.0
alpha23t-7,0.0
alpha23t-6,0.0
alpha23t-5,0.0
alpha23t-4,0.0
alpha23t-3,0.0
alpha23t-20,0.0
alpha23t-2,0.0
alpha23t-19,0.0
alpha23t-18,0.0
alpha23t-17,0.0
alpha23t-16,0.0
alpha23t-15,0.0
